Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2011 February,National - all residential properties,Base Jan 2005 = 100,76.5
Residential Property Price Index,2011 February,National - houses,Base Jan 2005 = 100,79.3
Residential Property Price Index,2011 February,National - apartments,Base Jan 2005 = 100,61.5
Residential Property Price Index,2011 February,Dublin - all residential properties,Base Jan 2005 = 100,69
Residential Property Price Index,2011 February,Dublin - houses,Base Jan 2005 = 100,72.4
Residential Property Price Index,2011 February,Dublin - apartments,Base Jan 2005 = 100,61.1
Residential Property Price Index,2011 March,National - all residential properties,Base Jan 2005 = 100,74.7
Residential Property Price Index,2011 March,National - houses,Base Jan 2005 = 100,77.4
Residential Property Price Index,2011 March,National - apartments,Base Jan 2005 = 100,60.3
Residential Property Price Index,2011 March,Dublin - all residential properties,Base Jan 2005 = 100,67.1
Residential Property Price Index,2011 March,Dublin - houses,Base Jan 2005 = 100,70.4
Residential Property Price Index,2011 March,Dublin - apartments,Base Jan 2005 = 100,59.8
Residential Property Price Index,2011 April,National - all residential properties,Base Jan 2005 = 100,73.7
Residential Property Price Index,2011 April,National - houses,Base Jan 2005 = 100,76.2
Residential Property Price Index,2011 April,National - apartments,Base Jan 2005 = 100,59.9
Residential Property Price Index,2011 April,Dublin - all residential properties,Base Jan 2005 = 100,66.6
Residential Property Price Index,2011 April,Dublin - houses,Base Jan 2005 = 100,69.8
Residential Property Price Index,2011 April,Dublin - apartments,Base Jan 2005 = 100,59.7
Residential Property Price Index,2011 May,National - all residential properties,Base Jan 2005 = 100,72.4
Residential Property Price Index,2011 May,National - houses,Base Jan 2005 = 100,75
Residential Property Price Index,2011 May,National - apartments,Base Jan 2005 = 100,58.7
Residential Property Price Index,2011 May,Dublin - all residential properties,Base Jan 2005 = 100,65.5
Residential Property Price Index,2011 May,Dublin - houses,Base Jan 2005 = 100,68.7
Residential Property Price Index,2011 May,Dublin - apartments,Base Jan 2005 = 100,58.7
Residential Property Price Index,2011 June,National - all residential properties,Base Jan 2005 = 100,71.3
Residential Property Price Index,2011 June,National - houses,Base Jan 2005 = 100,74
Residential Property Price Index,2011 June,National - apartments,Base Jan 2005 = 100,57.5
Residential Property Price Index,2011 June,Dublin - all residential properties,Base Jan 2005 = 100,64.6
Residential Property Price Index,2011 June,Dublin - houses,Base Jan 2005 = 100,67.8
Residential Property Price Index,2011 June,Dublin - apartments,Base Jan 2005 = 100,57.4
Residential Property Price Index,2011 July,National - all residential properties,Base Jan 2005 = 100,69.8
Residential Property Price Index,2011 July,National - houses,Base Jan 2005 = 100,72.5
Residential Property Price Index,2011 July,National - apartments,Base Jan 2005 = 100,56
